ID No,Latitude,Longitude
356,71.10,22.43
357,71.32,23.68
358,71.60,24.90
359,71.27,25.88
363,71.52,28.12
364,71.48,29.10
365,71.10,29.92
366,71.03,30.87
367,71.32,31.20
368,71.30,32.15
369,71.22,33.15
370,71.58,32.37
371,71.68,31.25
372,71.72,30.77
373,72.02,31.67
375,72.25,32.93
376,72.45,34.32
377,72.72,35.60
378,72.83,34.58
379,72.90,33.33
380,72.62,32.05
381,72.35,30.78
382,72.08,29.43
383,71.82,28.17
384,71.55,27.00
385,71.93,26.07
386,72.22,27.25
387,72.48,28.55
388,72.75,29.53
389,73.02,31.23
390,73.28,32.55
391,73.62,34.13
392,73.67,35.18
393,73.87,34.22
394,73.93,33.02
395,73.67,31.78
396,73.38,30.18
397,73.17,28.88
398,72.92,27.60
399,72.60,26.33
400,72.28,25.17
401,72.65,24.10
402,73.02,25.43
403,73.25,26.80
404,73.53,28.07
405,73.80,29.42
406,74.12,30.83
407,74.43,30.92
409,74.33,32.15
410,74.75,31.25
411,75.08,31.43
412,75.40,31.85
413,75.72,32.10
414,75.93,33.42
415,75.73,32.55
416,75.47,30.50
417,75.82,30.77
418,75.62,29.10
419,75.62,28.05
420,75.18,27.63
428,75.22,29.05
429,75.12,30.33
430,74.80,30.00
431,74.48,29.78
432,74.17,29.48
439,74.18,28.28
440,74.53,28.50
441,74.85,28.77
442,74.92,27.35
443,74.62,26.17
444,74.58,27.23
445,74.25,27.00
446,73.90,26.97
447,73.60,25.67
448,73.32,24.28
449,73.03,23.02
450,73.02,21.92
451,73.08,20.95
453,74.27,23.98
454,73.95,22.15
455,73.67,20.63
456,73.70,19.65
457,73.75,18.55
458,74.07,17.30
459,74.33,16.87
460,73.12,18.52
461,73.12,19.70
462,70.83,21.32
465,73.38,17.37
