site;src;index;date;temp;;;;;;;
Knysna;SAWS;Knysna/ SAWS;January;22,919;20,35828889;2,102298336;;;Knysna;;
Knysna;SAWS;Knysna/ SAWS;January;16,48;;;;Jan;20,36;;
Knysna;SAWS;Knysna/ SAWS;January;19,67;;;;Feb;19,81;;
Knysna;SAWS;Knysna/ SAWS;January;20,97;;;;Mar;18,78;;
Knysna;SAWS;Knysna/ SAWS;January;19,55;;;;Apr;17,17;;
Knysna;SAWS;Knysna/ SAWS;January;22,05;;;;May;16,25;;
Knysna;SAWS;Knysna/ SAWS;January;21,07;;;;Jun;15,21;;
Knysna;SAWS;Knysna/ SAWS;January;19,23;;;;Jul;14,60;;
Knysna;SAWS;Knysna/ SAWS;January;20,86;;;;Aug;14,90;;
Knysna;SAWS;Knysna/ SAWS;January;20,79;;;;Sep;15,84;;
Knysna;SAWS;Knysna/ SAWS;January;22,13;;;;Oct;17,06;;
Knysna;SAWS;Knysna/ SAWS;January;22,90;;;;Nov;18,30;;
Knysna;SAWS;Knysna/ SAWS;January;18,53;;;;Dec;19,67;;
Knysna;SAWS;Knysna/ SAWS;January;21,14;;;;;;;
Knysna;SAWS;Knysna/ SAWS;January;20,27;;;;;Muizenberg;;
Knysna;SAWS;Knysna/ SAWS;January;20,45;;;;Jan;19,57;;
Knysna;SAWS;Knysna/ SAWS;January;21,72;;;;Feb;19,02;;
Knysna;SAWS;Knysna/ SAWS;January;17,43;;;;Mar;17,79;;
Knysna;SAWS;Knysna/ SAWS;January;21,42;;;;Apr;15,94;;
Knysna;SAWS;Knysna/ SAWS;January;20,46;;;;May;14,20;;
Knysna;SAWS;Knysna/ SAWS;January;21,73;;;;Jun;12,77;;
Knysna;SAWS;Knysna/ SAWS;January;21,81;;;;Jul;12,35;;
Knysna;SAWS;Knysna/ SAWS;January;17,67;;;;Aug;12,81;;
Knysna;SAWS;Knysna/ SAWS;January;19,37;;;;Sep;14,06;;
Knysna;SAWS;Knysna/ SAWS;January;19,66;;;;Oct;15,77;;
Knysna;SAWS;Knysna/ SAWS;January;21,32;;;;Nov;17,57;;
Knysna;SAWS;Knysna/ SAWS;January;18,67;;;;Dec;19,06;;
Knysna;SAWS;Knysna/ SAWS;January;20,03;;;;;;;
Knysna;SAWS;Knysna/ SAWS;January;14,94;;;;;Port nolloth;;
Knysna;SAWS;Knysna/ SAWS;January;21,48;;;;Jan;12,98;;
Knysna;SAWS;Knysna/ SAWS;January;22,61;;;;Feb;13,33;;
Knysna;SAWS;Knysna/ SAWS;January;22,87;;;;Mar;13,03;;
Knysna;SAWS;Knysna/ SAWS;January;23,36;;;;Apr;12,83;;
Knysna;SAWS;Knysna/ SAWS;January;21,40;;;;May;12,57;;
Knysna;SAWS;Knysna/ SAWS;January;17,84;;;;Jun;12,27;;
Knysna;SAWS;Knysna/ SAWS;January;22,31;;;;Jul;11,88;;
Knysna;SAWS;Knysna/ SAWS;January;15,92;;;;Aug;11,78;;
Knysna;SAWS;Knysna/ SAWS;January;15,95;;;;Sep;11,71;;
Knysna;SAWS;Knysna/ SAWS;January;21,02;;;;Oct;11,96;;
Knysna;SAWS;Knysna/ SAWS;January;17,70;;;;Nov;12,35;;
Knysna;SAWS;Knysna/ SAWS;January;22,63;;;;Dec;12,84;;
Knysna;SAWS;Knysna/ SAWS;January;21,98;;;;;;;
Knysna;SAWS;Knysna/ SAWS;January;22,92;;;;;;;
Knysna;SAWS;Knysna/ SAWS;January;22,14;;;;;;;
Knysna;SAWS;Knysna/ SAWS;January;18,77;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;21,02;19,814;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;15,54;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;19,59;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;17,41;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;18,93;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;20,42;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;21,45;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;20,70;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;20,02;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;19,45;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;21,50;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;22,10;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;19,86;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;19,27;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;20,05;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;22,18;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;17,67;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;14,07;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;19,09;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;19,81;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;21,45;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;22,26;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;16,64;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;20,50;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;19,00;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;21,60;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;17,34;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;16,93;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;18,18;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;19,98;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;19,71;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;24,73;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;24,05;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;21,38;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;20,84;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;21,64;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;15,95;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;16,40;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;20,74;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;18,43;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;20,98;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;21,70;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;21,84;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;20,39;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;18,89;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;17,82;18,78052381;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;18,48;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;15,48;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;18,40;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;19,98;;;;;;;
